абы где	where
у руля	at the helm of the
уголком глаза	out of the corner of my eye
хоть бы что	not a thing
хоть как	any way
хоть куда	wherever
хоть на йоту	by one iota
хоть на йоту	jot or tittle of the
хоть на йоту	one jot or tittle of the
хоть на йоту	or tittle of the
хоть на йоту	to abate one jot or tittle of
хоть на йоту	to abate one jot or tittle
хоть одним глазком	at least one eye
хоть отбавляй	rife
хоть плачь	even cry
хоть трава не расти	though the grass not to grow
хоть шаром покати	at least roll the ball
хоть шаром покати	there is a great empty space
целую вечность	for ages
целую жизнь	a lifetime
час в час	hour per hour
час в час	hour to hour
час от часу	hour by hour
чего доброго	good
чего ради	why
через мой труп	over my dead body
через силу	through strength
через силу	through the power
через силу	through force
через силу	through the power of
черным по белому	in black and white
черным по белому	black on white
чистыми деньгами	in hard cash
чудо как	a miracle as
чужими руками	proxy
чуть свет	a little light
шаг за шагом	step by step
шаг за шагом	step-by-step
шиворот-навыворот	topsy-turvy
щека к щеке	cheek to cheek
явочным порядком	without prior arrangement
